,movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,prdtYear,showTm,genres,directors
112,20197054,빅트립: 아기팬더 배달 대모험,Big trip,,전체관람가,2019,82,['애니메이션'],바실리 로벤스키
113,20198961,더 킹: 헨리 5세,The King,,청소년관람불가,2019,140,['드라마'],데이비드 미쇼
114,19910247,터미네이터2 3D,Terminator II,Terminator II : Judgment Day,중학생이상관람가,1991,137,"['액션', 'SF', '스릴러']",제임스 카메론
115,20191183,제미니 맨,Gemini Man,,12세이상관람가,2019,116,"['액션', '드라마', 'SF']",이안
116,20194223,너를 만난 여름,My Best Summer,最好的我們,12세이상관람가,2019,109,"['드라마', '멜로/로맨스']",장적사
117,20193601,장사리 : 잊혀진 영웅들,Battle of Jangsari,,12세이상관람가,2019,103,['전쟁'],곽경택
118,20183407,버티고,Vertigo,,15세이상관람가,2019,114,"['드라마', '멜로/로맨스']",전계수
119,20196380,몬스터 하우스,GNOME ALONE,,전체관람가,2017,85,"['애니메이션', '어드벤처']",피터 레페니오티스
120,20195941,소피와 드래곤: 마법책의 비밀,The Princess and The Dragon,Printsessa i drakon,전체관람가,2018,72,"['애니메이션', '판타지', '어드벤처']",마리나 네페도바
121,20197691,잃어버린 세계를 찾아서,Missing Link,,전체관람가,2019,94,"['애니메이션', '어드벤처']",크리스 버틀러
122,20184243,판소리 복서,My Punch-Drunk Boxer,,12세이상관람가,2019,113,"['코미디', '드라마']",정혁기
123,20199446,원스 어폰 어 타임... 인 할리우드,Once Upon a Time... in Hollywood,,청소년관람불가,2019,161,"['드라마', '코미디']",쿠엔틴 타란티노
124,20194456,양자물리학,By Quantum Physics: A Nightlife Venture,,15세이상관람가,2019,119,['범죄'],이성태
